Year	Auckland	Otago	Canterbury	Victoria	Massey	Waikato	Cambridge	Lincoln	AUT
2022	87	217	284	275	292	331	2	368	486
2021	85	194	258	236	284	373	3	372	451
2020	81	184	270	223	272	375	7	387	437
2019	83	176	227	215	287	266	7	356	442
2018	85	175	231	221	332	274	6	317	464
2017	82	151	214	219	316	292	5	319	450
2016	81	169	214	228	340	324	4	343	450
2015	82	173	211	229	337	338	3	373	485
2014	92	159	242	275	346	405	2	415	525
2013	94	155	238	265	343	405	3	485	475
2012	83	133	221	237	308	374	2	NA	475
2011	82	130	212	237	329	357	1	NA	NA
2010	68	135	189	225	302	316	1	NA	NA
2009	61	125	188	229	299	314	2	NA	NA
2008	65	124	186	227	283	378	3	NA	NA
2007	50	114	188	234	242	319	2	NA	NA
2006	46	79	NA	222	213	340	2	NA	NA
2005	52	186	NA	222	188	340	2	NA	NA
2004	67	114	NA	NA	108	NA	NA	NA	NA
