JCR Year and Edition: 2010 Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ALGORITHM MOL BIOL;1748-7188;175;2.800;2.418;0.282;39;2.9;0.00148;1.132;
BIOINFORMATICS;1367-4803;40659;4.877;6.325;0.707;700;5.7;0.17973;2.649;
BIOL DIRECT;1745-6150;748;3.737;3.977;0.746;67;2.8;0.00628;1.842;
BIOL REV;1464-7931;5098;6.574;10.894;1.581;43;>10.0;0.01231;4.450;
BIOSTATISTICS;1465-4644;2108;2.769;3.299;0.625;56;6.7;0.01177;2.316;
BMC BIOINFORMATICS;1471-2105;12653;3.028;3.786;0.475;690;3.9;0.08086;1.495;
BMC BIOL;1741-7007;1709;5.203;5.479;1.500;96;3.0;0.01243;2.463;
BMC EVOL BIOL;1471-2148;5700;3.702;4.619;0.421;390;3.2;0.03976;1.885;
BMC GENOMICS;1471-2164;10871;4.206;4.199;0.611;761;2.8;0.06623;1.456;
BMC MOL BIOL;1471-2199;1705;3.188;3.597;0.356;104;3.2;0.01004;1.245;
BRIEF BIOINFORM;1467-5463;2886;9.283;7.395;1.204;49;5.8;0.01013;2.737;
CELL;0092-8674;167587;32.401;34.929;6.661;319;8.5;0.70472;20.639;
CURR BIOL;0960-9822;39881;10.025;11.435;2.358;366;5.9;0.20777;6.323;
CURR OPIN BIOTECH;0958-1669;8209;8.486;9.157;0.541;98;6.1;0.02512;2.972;
CURR OPIN MICROBIOL;1369-5274;6743;7.714;8.248;1.433;104;5.3;0.03124;3.556;
EMBO J;0261-4189;76014;10.124;9.369;2.267;329;9.7;0.20756;5.310;
EMBO REP;1469-221X;9402;7.822;7.488;1.653;95;5.1;0.05544;3.959;
EVOL BIOINFORM;1176-9343;1368;2.684;12.620;0.071;14;5.4;0.00926;4.401;
EVOL BIOL;0071-3260;805;2.736;;0.286;21;>10.0;0.00162;;
EVOLUTION;0014-3820;29398;5.659;6.041;0.945;275;>10.0;0.06027;2.543;
GENOME BIOL;1474-7596;14194;6.885;7.353;1.295;173;4.9;0.07688;3.585;
GENOME BIOL EVOL;1759-6653;160;2.674;2.674;0.787;47;1.3;0.00128;1.425;
GENOME RES;1088-9051;24166;13.588;11.971;3.176;170;5.8;0.12663;6.580;
GENOMICS;0888-7543;10422;3.327;3.214;0.648;88;>10.0;0.01831;1.273;
J EVOLUTION BIOL;1010-061X;7487;3.656;4.080;0.500;264;5.3;0.03331;1.687;
J MATH BIOL;0303-6812;3111;3.021;2.377;0.567;67;>10.0;0.00771;1.148;
J MOL CELL BIOL;1674-2788;108;13.400;13.800;1.250;28;1.3;0.00045;4.591;
MOL BIOL EVOL;0737-4038;25812;5.510;8.907;1.364;258;6.6;0.09129;3.608;
MOL ECOL;0962-1083;25229;6.457;6.633;1.643;414;5.8;0.07348;2.025;
MOL MICROBIOL;0950-382X;34004;4.819;5.207;1.210;433;7.5;0.10483;2.269;
MOL PHYLOGENET EVOL;1055-7903;12875;3.889;4.394;0.806;432;5.4;0.04037;1.349;
MOL SYST BIOL;1744-4292;3877;9.667;13.327;1.206;102;3.3;0.03252;5.942;
NAT BIOTECHNOL;1087-0156;34520;31.085;29.061;5.342;117;6.2;0.13226;12.257;
NAT MED;1078-8956;53665;25.430;27.887;5.377;151;7.1;0.18161;12.498;
NAT METHODS;1548-7091;12093;20.717;19.284;4.268;127;3.2;0.11154;9.873;
NAT PROTOC;1754-2189;9988;8.362;8.449;1.547;170;3.4;0.08502;3.799;
NAT REV MOL CELL BIO;1471-0072;26837;38.650;41.576;6.400;70;4.7;0.18689;23.518;
NAT STRUCT MOL BIOL;1545-9985;21255;13.685;12.481;2.967;212;5.9;0.12724;8.055;
NUCLEIC ACIDS RES;0305-1048;100444;7.836;7.314;1.755;1101;7.0;0.32867;3.016;
P ROY SOC B-BIOL SCI;0962-8452;31786;5.064;5.442;1.100;452;7.8;0.09093;2.299;
PHILOS T R SOC B;0962-8436;21140;6.053;6.976;3.019;317;7.3;0.06889;3.086;
PLOS BIOL;1544-9173;18453;12.469;14.375;2.706;214;4.1;0.16084;8.225;
PLOS COMPUT BIOL;1553-734X;6849;5.515;6.251;0.727;406;2.8;0.06075;2.984;
PLOS ONE;1932-6203;42795;4.411;4.610;0.515;6714;2.1;0.32121;1.943;
PLOS PATHOG;1553-7366;10833;9.079;9.675;1.462;520;2.3;0.08340;4.137;
RNA;1355-8382;10743;6.051;5.486;1.164;232;4.9;0.05985;2.773;
RNA BIOL;1547-6286;765;5.597;;0.512;86;2.7;0.00543;;
SYST BIOL;1063-5157;9559;9.532;11.159;1.692;52;7.1;0.02671;4.367;
TRENDS BIOTECHNOL;0167-7799;9026;9.644;9.351;1.473;74;6.5;0.02367;2.846;
TRENDS ECOL EVOL;0169-5347;21179;14.448;17.735;2.987;75;8.0;0.05964;7.579;

