JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACCOUNTS CHEM RES;0001-4842;39664;21.640;22.507;3.460;126;7.0;0.10120;7.299;
ACS CHEM BIOL;1554-8929;2681;6.446;5.976;1.082;146;2.9;0.01851;2.404;
ACS NANO;1936-0851;22409;11.421;11.708;1.631;1141;2.0;0.12083;3.767;
ACTA CRYSTALLOGR D;0907-4449;12770;12.619;7.038;3.347;124;6.9;0.05384;3.711;
ACTA NEUROPATHOL;0001-6322;10562;9.320;7.280;2.158;114;7.3;0.02639;2.328;
ADV AGRON;0065-2113;2678;5.204;5.744;0.696;23;>10.0;0.00435;1.959;
ADV APPL MICROBIOL;0065-2164;1097;5.233;4.202;0.000;11;7.9;0.00244;1.343;
ADV CANCER RES;0065-230X;1838;6.733;5.766;0.263;19;9.7;0.00483;2.373;
ADV CARBOHYD CHEM BI;0065-2318;851;7.643;5.560;0.333;6;>10.0;0.00082;1.779;
ADV COLLOID INTERFAC;0001-8686;6414;8.120;8.372;0.633;79;7.8;0.01314;2.380;
ADV DRUG DELIVER REV;0169-409X;19409;11.502;14.608;1.554;101;7.0;0.03934;3.858;
ADV ECOL RES;0065-2504;1618;5.333;3.224;5.000;5;>10.0;0.00105;1.168;
ADV FUNCT MATER;1616-301X;28503;10.179;9.920;1.514;533;4.0;0.11269;2.945;
ADV IMMUNOL;0065-2776;2240;5.762;7.438;0.600;20;9.9;0.00859;4.182;
ADV MATER;0935-9648;79860;13.877;12.813;2.155;789;5.0;0.26241;4.071;
ADV MICROB PHYSIOL;0065-2911;909;9.875;8.650;0.000;5;>10.0;0.00129;3.508;
ADV ORGANOMET CHEM;0065-3055;951;7.000;6.636;0.500;2;>10.0;0.00074;1.835;
ADV PHYS;0001-8732;4400;37.000;25.289;3.778;9;>10.0;0.01484;17.985;
ADV SYNTH CATAL;1615-4150;14629;6.048;5.904;1.003;398;4.1;0.04807;1.488;
AGEING RES REV;1568-1637;1713;6.174;6.383;1.679;53;4.5;0.00572;2.025;
AGING CELL;1474-9718;3673;6.265;7.119;1.059;101;4.1;0.01856;2.622;
AIDS;0269-9370;23156;6.245;6.160;1.784;259;6.0;0.07300;2.210;
ALDRICHIM ACTA;0002-5100;1100;16.091;16.882;7.000;2;5.7;0.00328;5.252;
ALLERGY;0105-4538;12156;6.271;6.098;1.335;200;5.8;0.03146;1.752;
ALZHEIMERS DEMENT;1552-5260;1888;6.373;;4.803;61;2.7;0.00865;;
AM J CLIN NUTR;0002-9165;45766;6.669;7.366;1.367;406;8.2;0.09384;2.380;
AM J EPIDEMIOL;0002-9262;31658;5.216;6.001;0.880;309;>10.0;0.06715;2.498;
AM J GASTROENTEROL;0002-9270;26645;7.282;6.680;1.849;225;7.2;0.06232;2.113;
AM J HUM GENET;0002-9297;34192;10.603;11.716;2.302;162;8.4;0.10684;5.867;
AM J KIDNEY DIS;0272-6386;18956;5.434;5.138;1.386;210;8.3;0.03745;1.692;
AM J MED;0002-9343;22346;5.430;4.875;0.907;162;>10.0;0.03538;1.793;
