Abbreviated_Journal_Title	Impact_Factor	{2011}_Total_Cites	5-Year_Impact_Factor
NAT_REV_GENET	38.075	20384	31.359
NATURE	36.280	526505	36.235
NAT_GENET	35.532	76456	33.096
ANNU_REV_BIOCHEM	34.317	18684	35.013
CELL	32.403	171297	34.774
SCIENCE	31.201	480836	32.452
ANNU_REV_GENET	22.233	6212	20.637
NAT_REV_MICROBIOL	21.182	12517	20.928
TRENDS_ECOL_EVOL	15.748	22734	16.981
ANNU_REV_ECOL_EVOL_S	14.373	14049	18.007
ANNU_REV_MICROBIOL	14.345	7940	16.083
GENOME_RES	13.608	24988	12.486
PLOS_BIOL	11.452	20579	13.630
TRENDS_GENET	10.064	10591	8.986
P_NATL_ACAD_SCI_USA	9.681	504243	10.472
CURR_BIOL	9.647	41572	10.881
EMBO_J	9.205	73390	8.833
PLOS_PATHOG	9.127	15642	9.629
GENOME_BIOL	9.036	15556	7.896
PLOS_GENET	8.694	16668	9.173
NUCLEIC_ACIDS_RES	8.026	106520	7.417
TRENDS_MICROBIOL	7.910	7745	7.269
EMBO_REP	7.355	9618	7.366
PHILOS_T_R_SOC_B	6.401	23973	7.154
BMC_BIOL	5.750	2193	5.841
MOL_BIOL_EVOL	5.550	28313	9.857
BIOINFORMATICS	5.468	43380	6.051
PLOS_COMPUT_BIOL	5.215	8924	5.844
BRIEF_BIOINFORM	5.202	2859	7.749
RNA	5.095	10965	5.157
RNA_BIOL	4.933	1228	
PLOS_ONE	4.092	75544	4.537
BMC_GENOMICS	4.073	14580	4.328
BIOL_DIRECT	4.017	979	3.860
J_BACTERIOL	3.825	66202	3.924
BMC_EVOL_BIOL	3.521	7405	4.592
BMC_MOL_BIOL	2.857	1950	3.401
BMC_BIOINFORMATICS	2.751	14268	3.493
GENOME	1.653	4878	1.971
IEEE	0	0	0
ISRN	-2	0	-2
HINDAWI	-5	0	-5
BENTHAM	-5	0	-5
