Abbreviated_Journal_Title	Impact_Factor	2012_Total_Cites	5-Year_Impact_Factor
NAT_REV_GENET	41.063	23358	36.400
NATURE	38.597	554745	38.159
NAT_GENET	35.209	81183	34.520
CELL	31.957	178762	34.366
SCIENCE	31.027	508489	33.587
NAT_METHODS	23.565	19241	23.231
TRENDS_ECOL_EVOL	15.389	24279	17.112
MOL_CELL	15.280	47818	14.902
PLOS_MED	15.253	14820	16.426
GENOME_RES	14.397	28856	14.104
PLOS_BIOL	12.690	22908	13.447
MOL_BIOL_EVOL	10.353	32168	11.221
GENOME_BIOL	10.288	17478	8.959
NAT_COMMUN	10.015	7322	10.020
EMBO_J	9.822	75950	9.602
TRENDS_GENET	9.772	10798	9.325
P_NATL_ACAD_SCI_USA	9.737	534951	10.583
PLOS_GENET	8.517	22212	9.440
TRENDS_MICROBIOL	8.434	8226	8.090
NUCLEIC_ACIDS_RES	8.278	118715	8.055
PLOS_PATHOG	8.136	19743	8.917
BMC_BIOL	6.531	2631	6.384
P_ROY_SOC_B-BIOL_SCI	5.683	37539	5.832
MBIO	5.621	1260	5.621
BIOINFORMATICS	5.323	51753	6.911
BRIEF_BIOINFORM	5.298	3073	7.510
RNA	5.088	11854	5.430
PLOS_COMPUT_BIOL	4.867	11758	5.939
RNA_BIOL	4.841	1787	5.436
GENOME_BIOL_EVOL	4.759	1284	4.859
BMC_GENOMICS	4.397	18388	4.615
DATABASE-OXFORD	4.200	522	4.189
J_MOL_BIOL	3.905	70025	3.888
PLOS_ONE	3.730	133246	4.244
BMC_BIOINFORMATICS	3.024	17337	3.510
J_MOL_EVOL	2.145	8397	2.379
ORIGINS_LIFE_EVOL_B	1.831	1462	2.174
