Country	Hindex	GDP	Population	Nobels	NobelsIn	NobelsScience	NobelsScienceIn	RDEXP08	Top200thCitation	Top100thCitation	MaxCitations	TotalTop100Citations
Chile	171	243044	17156700	2	2	0	0	NA	161	251	4588	59471
USA	988	14256275	310779000	326	324	245	244	398194.0	1658	2325	30616	412887
Japan	610	4159432	127380000	18	15	15	12	149212.9	1120	1616	16451	272986
Korea	266	1364148	49773145	1	1	0	0	45293.6	323	426	3351	70733
Germany	692	2806266	81802000	102	79	84	66	76796.9	1319	1772	32399	362211
France	631	2108228	65447374	57	54	31	29	42892.8	1161	1556	18479	283283
Spain	400	1360605	46122169	7	6	2	1	19369.9	579	796	4588	141275
UK	830	2139400	61792000	115	105	84	77	38707.5	1704	2465	17011	418278
Turkey	168	880061	72561312	1	1	0	0	7195.0	163	225	1366	38565
Italy	517	1740123	60464146	20	16	12	8	22127.7	851	1148	7202	195129
Australia	473	851170	22537000	10	8	9	7	18905.3	712	1045	4588	177284
Canada	645	1281064	34326000	20	11	14	7	23961.5	1153	1634	33485	341886
Mexico	187	1465726	108396211	3	2	1	0	5760.5	200	265	3351	56470
Sweden	472	341869	9401925	28	27	14	13	12781.2	801	1077	6902	199748
Austria	335	328571	8396760	18	13	13	8	8461.4	449	590	9773	136171
Israel	394	206430	7653600	9	9	3	3	9921.0	571	805	8593	158811
Netherlands	536	658228	16630100	19	17	16	14	11828.0	147	237	3801	50658
Finland	344	190862	5374800	4	3	2	1	7098.2	466	656	4681	123735
Portugal	190	235904	10636888	4	2	1	1	3734.9	194	276	7976	56577
Belgium	381	389518	10827519	10	10	5	5	7259.1	571	806	6972	160953
Czech	199	262169	10515818	5	2	3	1	3767.9	206	293	1790	49875
Switzerland	532	312753	7782900	26	26	20	20	9923.1	887	1300	20099	230583
Norway	279	256523	4912100	11	11	3	3	4525.1	350	470	8113	99511
Poland	252	688761	38092000	12	5	5	0	3990.9	303	423	5850	82172
Denmark	387	204060	5557709	13	13	9	9	5498.2	551	763	3950	139524
Luxembourg	52	40025	502100	0	0	0	0	671.1	24	38	291	6985
Ireland	238	188112	4470700	10	9	1	1	2639.0	269	399	8593	88854
Hungary	221	196074	10014324	10	4	8	3	1987.8	244	366	2393	63573
Greece	215	341688	11306183	2	2	0	0	1906.6	232	312	2953	54900
Slovenia	126	59316	2058520	1	0	1	0	936.0	103	144	3244	27072
NZ	263	115709	4388400	3	0	3	0	1489.3	312	457	3805	75315
Slovakia	128	119268	5429763	0	0	0	0	563.5	107	152	2881	31590
Iceland	131	12664	318200	1	1	0	0	313.2	109	164	1977	40480
