inside_temp	outside_temp	date-time
9.5	-0.1	2011-09-26-0744
9.6	1.0	2011-09-16-0643
11.5	1.5	2011-09-14-0720
12.7	4.2	2011-09-08-0616
13.4	4.7	2011-09-12-0718
14.0	4.8	2011-09-18-0650
10.9	5.1	2011-09-04-0810
12.5	5.3	2011-09-06-0715
15.0	6.8	2011-09-14-2144
16.1	7.3	2011-09-03-2151
13.7	7.6	2011-09-13-2151
13.3	7.7	2011-09-20-2218
12.7	7.9	2011-09-15-0800
16.4	8.2	2011-09-04-2222
15.7	8.4	2011-09-07-2143
16.8	8.5	2011-09-05-2150
12.9	8.6	2011-09-05-0800
15.2	8.7	2011-09-16-2238
17.4	8.7	2011-09-09-2150
14.2	8.9	2011-09-07-0745
17.1	9.2	2011-09-18-2153
12.8	9.4	2011-09-10-0811
15.4	9.5	2011-09-17-2205
17.1	9.6	2011-09-06-2157
16.8	9.8	2011-09-12-2151
16.5	10.4	2011-09-11-2156
15.9	11.8	2011-09-11-0856
16.8	12.0	2011-09-08-2150
18.2	15.2	2011-09-10-2201
