inside_temp	outside_temp	date-time
2.9	-2.1	2011-08-08-0800
5.8	-1.8	2011-08-09-0710
4.6	-0.9	2011-08-16-0722
5.1	-0.3	2011-08-15-0736
4.8	0.0	2011-08-15-2200
8.1	1.0	2011-08-10-0720
5.5	1.3	2011-08-17-0647
7.8	1.5	2011-08-11-0820
8.3	1.8	2011-08-14-2155
5.7	2.6	2011-08-16-2155
8.8	3.2	2011-08-18-2151
10.9	3.8	2011-08-08-2217
7.0	3.9	2011-08-18-0725
10.0	4.1	2011-08-18-1800
7.7	4.1	2011-08-19-0750
8.1	4.3	2011-08-14-0822
7.0	4.5	2011-08-17-2156
9.0	6.1	2011-08-18-1700
10.6	6.5	2011-08-09-2153
9.9	6.8	2011-08-12-0720
10.6	6.9	2011-08-10-2152
10.5	7.1	2011-08-11-2151
10.2	7.2	2011-08-13-2150
10.4	7.2	2011-08-13-0818
10.9	7.5	2011-08-12-2151
9.3	7.8	2011-08-18-1615
9.3	8.9	2011-08-18-1545
9.5	9.3	2011-08-18-1600
9.3	9.4	2011-08-18-1530
#7.0	12.1	2011-08-18-1515
